ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Borong-1_i-1-1,Borong-1_i-1,ni,0,false,expert,McElhanon1967,,,
Borong-89_where-1-1,Borong-89_where-1,daaŋeŋ,1,false,expert,McElhanon1967,,,
Borong-2_thou-1-1,Borong-2_thou-1,gi,2,false,expert,McElhanon1967,,,
Borong-110_itsflower-1-1,Borong-110_itsflower-1,dzura-,3,false,expert,McElhanon1967,,,
Borong-3_we-1-1,Borong-3_we-1,nono,4,false,expert,McElhanon1967,,,
Borong-98_hethrows-1-1,Borong-98_hethrows-1,mesao-,5,false,expert,McElhanon1967,,,
Borong-10_hesays-1-1,Borong-10_hesays-1,dzo-,6,false,expert,McElhanon1967,,,
Borong-117_itswing-1-1,Borong-117_itswing-1,eŋgaŋ-,7,false,expert,McElhanon1967,,,
Borong-19_hegivesme-1-1,Borong-19_hegivesme-1,non-,8,false,expert,McElhanon1967,,,
Borong-126_dull-1-1,Borong-126_dull-1,dzitakpaak,9,false,expert,McElhanon1967,,,
Borong-39_hesleeps-1-1,Borong-39_hesleeps-1,e-,10,false,expert,McElhanon1967,,,
Borong-109_lake-1-1,Borong-109_lake-1,aŋgoŋ,11,false,expert,McElhanon1967,,,
Borong-40_heeats-1-1,Borong-40_heeats-1,ne-,12,false,expert,McElhanon1967,,,
Borong-137_work-1-1,Borong-137_work-1,gawoŋ,13,false,expert,McElhanon1967,,,
Borong-20_hestands-1-1,Borong-20_hestands-1,nan-,14,false,expert,McElhanon1967,,,
Borong-82_itseye-1-1,Borong-82_itseye-1,dzaa-,15,false,expert,McElhanon1967,,,
Borong-41_hebitesit-1-1,Borong-41_hebitesit-1,ki-,16,false,expert,McElhanon1967,,,
Borong-138_spear-1-1,Borong-138_spear-1,wasak,17,false,expert,McElhanon1967,,,
Borong-21_all-1-1,Borong-21_all-1,kuuya,18,false,expert,McElhanon1967,,,
Borong-127_hisbrother-1-1,Borong-127_hisbrother-1,dat-,19,false,expert,McElhanon1967,,,
Borong-42_black-1-1,Borong-42_black-1,indzaŋa,20,false,expert,McElhanon1967,,,
Borong-131_shesews-1-1,Borong-131_shesews-1,euŋme-,21,false,expert,McElhanon1967,,,
Borong-6_that-1-1,Borong-6_that-1,lo,22,false,expert,McElhanon1967,,,
Borong-95_heholds-1-1,Borong-95_heholds-1,me-,23,false,expert,McElhanon1967,,,
Borong-11_moon-1-1,Borong-11_moon-1,koiŋ,24,false,expert,McElhanon1967,,,
Borong-136_clothing-1-1,Borong-136_clothing-1,opo,25,false,expert,McElhanon1967,,,
Borong-43_green-1-1,Borong-43_green-1,asoŋ asoŋ,26,false,expert,McElhanon1967,,,
Borong-102_hedigs-1-1,Borong-102_hedigs-1,toguŋken-,27,false,expert,McElhanon1967,,,
Borong-22_many-1-1,Borong-22_many-1,mamagu,28,false,expert,McElhanon1967,,,
Borong-118_itsbreath-1-1,Borong-118_itsbreath-1,osoŋgoŋ,29,false,expert,McElhanon1967,,,
Borong-44_white-1-1,Borong-44_white-1,tataaŋkota,30,false,expert,McElhanon1967,,,
Borong-111_itsfruit-1-1,Borong-111_itsfruit-1,oŋ-,31,false,expert,McElhanon1967,,,
Borong-23_night-1-1,Borong-23_night-1,ketek,32,false,expert,McElhanon1967,,,
Borong-119_hevomits-1-1,Borong-119_hevomits-1,lon-,33,false,expert,McElhanon1967,,,
Borong-45_red-1-1,Borong-45_red-1,osoga,34,false,expert,McElhanon1967,,,
Borong-83_itsskin-1-1,Borong-83_itsskin-1,sele-,35,false,expert,McElhanon1967,,,
Borong-46_yellow-1-1,Borong-46_yellow-1,gogookota,36,false,expert,McElhanon1967,,,
Borong-139_heblows-1-1,Borong-139_heblows-1,uu-,37,false,expert,McElhanon1967,,,
Borong-47_good-1-1,Borong-47_good-1,auaa,38,false,expert,McElhanon1967,,,
Borong-76_hishand-1-1,Borong-76_hishand-1,borok,39,false,expert,McElhanon1967,,,
Borong-7_this-1-1,Borong-7_this-1,i,40,false,expert,McElhanon1967,,,
Borong-103_hecuts-1-1,Borong-103_hecuts-1,koto-,41,false,expert,McElhanon1967,,,
Borong-12_round-1-1,Borong-12_round-1,lilik lilik,42,false,expert,McElhanon1967,,,
Borong-140_itswells-1-1,Borong-140_itswells-1,somaro-,43,false,expert,McElhanon1967,,,
Borong-24_long-1-1,Borong-24_long-1,koriga,44,false,expert,McElhanon1967,,,
Borong-96_hefalls-1-1,Borong-96_hefalls-1,kamaa-,45,false,expert,McElhanon1967,,,
Borong-48_hot-1-1,Borong-48_hot-1,gerek,46,false,expert,McElhanon1967,,,
Borong-128_hissister-1-1,Borong-128_hissister-1,naaŋ-,47,false,expert,McElhanon1967,,,
Borong-49_new-1-1,Borong-49_new-1,gbilia,48,false,expert,McElhanon1967,,,
Borong-97_heturns-1-1,Borong-97_heturns-1,meleen-,49,false,expert,McElhanon1967,,,
Borong-13_itisfull-1-1,Borong-13_itisfull-1,saa kpe-,50,false,expert,McElhanon1967,,,
Borong-78_itstooth-1-1,Borong-78_itstooth-1,dzot-,51,false,expert,McElhanon1967,,,
Borong-25_big-1-1,Borong-25_big-1,somata,52,false,expert,McElhanon1967,,,
Borong-120_helaughs-1-1,Borong-120_helaughs-1,dzomo-,53,false,expert,McElhanon1967,,,
Borong-50_itisdry-1-1,Borong-50_itisdry-1,tobori-,54,false,expert,McElhanon1967,,,
Borong-130_hismother-1-1,Borong-130_hismother-1,maŋ-,55,false,expert,McElhanon1967,,,
Borong-51_cold-1-1,Borong-51_cold-1,oloŋa,56,false,expert,McElhanon1967,,,
Borong-77_itstongue-1-1,Borong-77_itstongue-1,neselaŋ-,57,false,expert,McElhanon1967,,,
Borong-14_hisknee-1-1,Borong-14_hisknee-1,simiŋ-,58,false,expert,McElhanon1967,,,
Borong-34_itsfat-1-1,Borong-34_itsfat-1,kelega,59,false,expert,McElhanon1967,,,
Borong-26_small-1-1,Borong-26_small-1,meraak,60,false,expert,McElhanon1967,,,
Borong-90_how-1-1,Borong-90_how-1,nomaiŋ,61,false,expert,McElhanon1967,,,
Borong-52_itsname-1-1,Borong-52_itsname-1,dzakota,62,false,expert,McElhanon1967,,,
Borong-104_some-1-1,Borong-104_some-1,tosi-,63,false,expert,McElhanon1967,,,
Borong-53_not-1-1,Borong-53_not-1,mende,64,false,expert,McElhanon1967,,,
Borong-121_hesucks-1-1,Borong-121_hesucks-1,bugo-,65,false,expert,McElhanon1967,,,
Borong-54_itburns-1-1,Borong-54_itburns-1,dze-,66,false,expert,McElhanon1967,,,
Borong-112_stick-1-1,Borong-112_stick-1,taak,67,false,expert,McElhanon1967,,,
Borong-27_star-1-1,Borong-27_star-1,seŋgeleu,68,false,expert,McElhanon1967,,,
Borong-72_bird-1-1,Borong-72_bird-1,kooŋ,69,false,expert,McElhanon1967,,,
Borong-55_road-1-1,Borong-55_road-1,kanak,70,false,expert,McElhanon1967,,,
Borong-84_itshead-1-1,Borong-84_itshead-1,osoga-,71,false,expert,McElhanon1967,,,
Borong-56_water-1-1,Borong-56_water-1,apuk,72,false,expert,McElhanon1967,,,
Borong-122_hecries-1-1,Borong-122_hecries-1,saa-,73,false,expert,McElhanon1967,,,
Borong-4_who-1-1,Borong-4_who-1,moŋ,74,false,expert,McElhanon1967,,,
Borong-113_worm-1-1,Borong-113_worm-1,genambeŋ,75,false,expert,McElhanon1967,,,
Borong-8_one-1-1,Borong-8_one-1,motooŋgok,76,false,expert,McElhanon1967,,,
Borong-91_and-1-1,Borong-91_and-1,ano,77,false,expert,McElhanon1967,,,
Borong-15_itsclaw-1-1,Borong-15_itsclaw-1,kosi-,78,false,expert,McElhanon1967,,,
